name,episode,link,pic,season,genre,rank
Hajime no Ippo: New Challenger,26,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,https://cdn.myanimelist.net/images/anime/8/56617.jpg,Winter 2009,Comedy Sports Drama Shounen,53
Howl no Ugoku Shiro,1,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,https://cdn.myanimelist.net/images/anime/5/75810.jpg,OVA ONA SPECIAL,Adventure Drama Fantasy Romance,54
Natsume Yuujinchou Shi,13,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,https://cdn.myanimelist.net/images/anime/3/37449.jpg,Winter 2012,Slice of Life Demons Supernatural Drama Shoujo,55
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,1,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,https://cdn.myanimelist.net/images/anime/1613/102179.jpg,OVA ONA SPECIAL,Drama Romance School Supernatural,56
Tengen Toppa Gurren Lagann,27,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,https://cdn.myanimelist.net/images/anime/4/5123.jpg,Spring 2007,Action Sci-Fi Adventure Comedy Mecha,57
Violet Evergarden,13,https://myanimelist.net/anime/33352/Violet_Evergarden,https://cdn.myanimelist.net/images/anime/1795/95088.jpg,Winter 2018,Slice of Life Drama Fantasy,58
Natsume Yuujinchou Roku,11,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,https://cdn.myanimelist.net/images/anime/6/84416.jpg,Spring 2017,Slice of Life Demons Supernatural Drama Shoujo,59
Shingeki no Kyojin Season 3,12,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,https://cdn.myanimelist.net/images/anime/1173/92110.jpg,Summer 2018,Action Military Mystery Super Power Drama Fantasy Shounen,60
Suzumiya Haruhi no Shoushitsu,1,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,https://cdn.myanimelist.net/images/anime/1248/112352.jpg,OVA ONA SPECIAL,Comedy Mystery Romance School Sci-Fi Supernatural,61
Death Note,37,https://myanimelist.net/anime/1535/Death_Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,Fall 2006,Mystery Police Psychological Supernatural Thriller Shounen,62
Ping Pong the Animation,11,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,https://cdn.myanimelist.net/images/anime/10/58041.jpg,Spring 2014,Drama Psychological Seinen Sports,63
Mushishi Zoku Shou: Suzu no Shizuku,1,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,https://cdn.myanimelist.net/images/anime/9/72689.jpg,OVA ONA SPECIAL,Adventure Fantasy Historical Mystery Seinen Slice of Life Supernatural,64
Ookami Kodomo no Ame to Yuki,1,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,https://cdn.myanimelist.net/images/anime/9/35721.jpg,OVA ONA SPECIAL,Fantasy Slice of Life,65
Kizumonogatari II: Nekketsu-hen,1,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,https://cdn.myanimelist.net/images/anime/8/80930.jpg,OVA ONA SPECIAL,Action Mystery Supernatural Vampire,66
Mo Dao Zu Shi: Wanjie Pian,12,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,https://cdn.myanimelist.net/images/anime/1634/116782.jpg,OVA ONA SPECIAL,Action Historical Demons Supernatural Drama Magic,67
Hajime no Ippo: Rising,25,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,https://cdn.myanimelist.net/images/anime/6/56147.jpg,Fall 2013,Comedy Sports Drama Shounen,68
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,39,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,https://cdn.myanimelist.net/images/anime/1572/95010.jpg,Fall 2018,Action Adventure Shounen,69
One Piece,?,https://myanimelist.net/anime/21/One_Piece,https://cdn.myanimelist.net/images/anime/6/73245.jpg,Fall 1999,Action Adventure Comedy Super Power Drama Fantasy Shounen,70
Shouwa Genroku Rakugo Shinjuu,13,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,https://cdn.myanimelist.net/images/anime/2/77907.jpg,Winter 2016,Historical Drama Josei,71
Yojouhan Shinwa Taikei,11,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,https://cdn.myanimelist.net/images/anime/10/50457.jpg,Spring 2010,Mystery Comedy Psychological Romance,72
Natsume Yuujinchou Go,11,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,https://cdn.myanimelist.net/images/anime/11/81755.jpg,Fall 2016,Slice of Life Demons Supernatural Drama Shoujo,73
Natsume Yuujinchou San,13,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,https://cdn.myanimelist.net/images/anime/8/82394.jpg,Summer 2011,Slice of Life Demons Supernatural Drama Shoujo,74
Yakusoku no Neverland,12,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,https://cdn.myanimelist.net/images/anime/1125/96929.jpg,Winter 2019,Sci-Fi Mystery Horror Psychological Thriller Shounen,75
Fate/Zero 2nd Season,12,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,https://cdn.myanimelist.net/images/anime/8/41125.jpg,Spring 2012,Action Supernatural Magic Fantasy,76
Fruits Basket 2nd Season,25,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,https://cdn.myanimelist.net/images/anime/1972/111635.jpg,Spring 2020,Slice of Life Comedy Supernatural Drama Romance Shoujo,77
Kimetsu no Yaiba,26,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,https://cdn.myanimelist.net/images/anime/1286/99889.jpg,Spring 2019,Action Demons Historical Shounen Supernatural,78
Kimi no Suizou wo Tabetai,1,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,https://cdn.myanimelist.net/images/anime/1768/93291.jpg,OVA ONA SPECIAL,Slice of Life Drama Romance,79
