name,episode,link,pic,season,genre,rank
Ansatsu Kyoushitsu 2nd Season,25,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,https://cdn.myanimelist.net/images/anime/8/77966.jpg,Winter 2016,Action Comedy School Shounen,98
Mob Psycho 100 II,13,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,https://cdn.myanimelist.net/images/anime/1918/96303.jpg,Winter 2019,Action SliceofLife Comedy Supernatural,25
Deadman Wonderland,12,https://myanimelist.net/anime/6880/Deadman_Wonderland,https://cdn.myanimelist.net/images/anime/9/75299.jpg,Spring 2011,Action Horror Sci-Fi Shounen Supernatural,2909
Guilty Crown,22,https://myanimelist.net/anime/10793/Guilty_Crown,https://cdn.myanimelist.net/images/anime/8/33713.jpg,Fall 2011,Action Sci-Fi SuperPower Drama Romance Mecha,1712
Owari no Seraph,12,https://myanimelist.net/anime/26243/Owari_no_Seraph,https://cdn.myanimelist.net/images/anime/5/73474.jpg,Spring 2015,Action Military Supernatural Drama Vampire Shounen,1635
Samurai Champloo,26,https://myanimelist.net/anime/205/Samurai_Champloo,https://cdn.myanimelist.net/images/anime/11/29134.jpg,Spring 2004,Action Adventure Comedy Historical Samurai Shounen,111
Dragon Ball Z,291,https://myanimelist.net/anime/813/Dragon_Ball_Z,https://cdn.myanimelist.net/images/anime/1607/117271.jpg,Spring 1989,Action Adventure Comedy SuperPower MartialArts Fantasy Shounen,365
Mononoke Hime,1,https://myanimelist.net/anime/164/Mononoke_Hime,https://cdn.myanimelist.net/images/anime/7/75919.jpg,OVA ONA SPECIAL,Action Adventure Fantasy,47
Kuroshitsuji,24,https://myanimelist.net/anime/4898/Kuroshitsuji,https://cdn.myanimelist.net/images/anime/5/27013.jpg,Fall 2008,Action Mystery Comedy Historical Demons Supernatural Shounen,1033
Bungou Stray Dogs,12,https://myanimelist.net/anime/31478/Bungou_Stray_Dogs,https://cdn.myanimelist.net/images/anime/3/79409.jpg,Spring 2016,Action Comedy Mystery Seinen SuperPower Supernatural,843
